,IDs,Compound
0," 1-Hexanol, 2-ethyl-",compound1
1,(-)-b-Pinene,compound2
2,1-Nonene,compound3
3,"2,4-Dimethyl-1-heptene",compound4
4,2-Hexanone,compound5
5,4-Carene,compound6
6,5-Methyl-1-heptanol,compound7
7,Camphene,compound8
8,Cumene,compound9
9,D-Limonene,compound10
10,Farnesan,compound11
11,Hentriacontane,compound12
12,"Hexanal, 2-ethyl-",compound13
13,Isomenthone,compound14
14,Levomenthol,compound15
15,Linalool propanoate,compound16
16,Naphthalene,compound17
17,"Naphthalene, 1-methyl-",compound18
18,"Nonane, 2,6-dimethyl-",compound19
19,Pentacosane,compound20
20,Pulegone,compound21
21,Sabinene,compound22
22,Shisofuran?,compound23
23,Zonarene,compound24
24,a- Pinene,compound25
25,a- Thujene,compound26
26,b-Caryophyllene,compound27
27,b-Copaene,compound28
28,b-Pinene,compound29
29,trans-a- Bergamotene,compound30
