case,region,year,municipality,planting_date,detection_date,severity,RAIN30,RD30_0,RD30_1,RD30_5,TMAX30,TMIN30,TMED30,DTMIN15,DTMAX32
1,s,2003,Passo Fundo,11/28/2003,3/1/2004,2.00,25.70,6.00,4.0,1.00,27.94,15.01,21.48,11,1
2,s,2003,Maracajú,11/22/2004,2/28/2005,5.00,15.80,6.00,4.0,1.00,29.55,22.96,26.25,0,8
3,n,2003,Riachão,12/6/2004,3/1/2005,10.00,29.70,14.00,4.0,3.00,30.11,23.49,26.80,0,4
4,n,2003,Ponta Grossa,12/5/2003,2/4/2004,11.00,60.00,5.00,5.0,3.00,27.06,16.71,21.89,5,1
5,n,2003,Ponta Grossa,11/25/2003,1/10/2004,11.25,81.00,8.00,7.0,4.00,27.27,17.40,22.34,3,0
6,n,2003,Ponta Grossa,11/15/2004,2/26/2005,13.00,21.40,5.00,4.0,2.00,27.20,16.85,22.03,7,2
7,s,2003,Ponta Porã,11/28/2003,2/1/2004,20.00,54.60,10.00,6.0,3.00,31.41,18.98,25.19,0,10
8,s,2004,Campo Mourão,11/28/2003,2/2/2004,21.00,105.40,9.00,8.0,6.00,29.80,17.21,23.51,4,1
9,s,2004,Cambará,11/25/2003,2/2/2004,24.00,125.60,5.00,4.0,2.00,31.43,18.59,25.01,0,12
10,s,2004,Correntina,11/28/2003,1/31/2004,25.00,108.40,10.00,9.0,7.00,29.71,21.05,25.38,0,2
11,s,2004,Guarapuava,11/29/2004,3/14/2005,32.00,100.00,11.00,9.0,7.00,26.53,15.97,21.25,6,0
12,n,2004,Ponta Grossa,11/5/2003,12/25/2003,34.00,108.00,8.00,7.0,5.00,26.55,16.90,21.72,4,0
13,n,2004,Luís Eduardo Magalhães,11/12/2003,2/15/2004,39.20,155.80,14.00,10.0,8.00,30.55,20.86,25.71,0,3
14,n,2004,Júlio de Castilhos,12/15/2002,4/10/2003,40.00,120.20,11.00,8.0,5.00,24.71,13.29,19.00,19,2
15,n,2004,Pato Branco,12/11/2004,3/7/2005,41.80,141.20,8.00,7.0,4.00,29.73,17.67,23.70,1,7
16,n,2004,Londrina,12/14/2002,2/10/2003,42.00,112.60,18.00,11.0,7.00,30.11,21.07,25.59,0,9
17,n,2004,Londrina,11/6/2002,2/3/2003,45.00,129.10,19.00,11.0,7.00,30.64,21.13,25.88,0,8
18,n,2004,Uberaba,12/15/2004,3/7/2005,51.00,174.00,15.00,13.0,8.00,29.87,22.32,26.10,0,7
19,n,2004,Londrina,12/17/2003,2/25/2004,55.00,139.00,14.00,9.0,5.00,29.40,18.10,23.75,3,4
20,n,2004,Luís Eduardo Magalhães,11/19/2004,1/25/2005,55.00,170.20,14.00,11.0,8.00,29.47,23.90,26.68,0,5
21,s,2004,Montividiu,1/20/2004,4/6/2004,58.00,185.60,16.00,10.0,5.00,30.01,18.31,24.16,0,3
22,s,2004,Uberaba,12/3/2003,1/18/2004,65.00,317.40,17.00,15.0,13.00,29.12,20.25,24.69,0,5
23,s,2004,Paulínia,12/2/2004,1/10/2005,70.00,277.60,14.00,12.0,10.00,29.01,19.78,24.40,1,4
24,s,2004,Rondonópolis,11/20/2004,1/18/2005,70.00,243.80,14.00,11.0,11.00,31.07,25.01,28.04,0,13
25,n,2005,Rio Verde,11/29/2002,1/31/2003,73.00,310.60,20.00,15.0,13.00,31.18,20.01,25.59,0,12
26,n,2005,Rondonopolis,11/20/2003,1/20/2004,77.50,296.40,20.00,19.0,14.00,29.77,21.76,25.76,0,4
27,n,2005,Campo Verde,11/20/2004,1/25/2005,78.00,266.10,21.00,17.0,12.00,30.24,23.57,26.91,0,12
28,n,2005,São José do Rio Claro,11/25/2003,2/2/2004,83.00,408.80,23.00,21.0,14.00,31.00,21.57,26.29,0,11
29,s,2005,Correntina,11/10/2002,1/3/2003,85.00,331.80,18.00,16.0,12.00,30.55,20.05,25.30,0,7
30,s,2005,Rio Verde,11/25/2003,3/20/2004,88.00,285.10,16.00,15.0,13.00,30.44,18.58,24.51,1,5
31,n,2005,Rondonópolis,11/20/2003,1/9/2004,88.00,381.00,20.00,20.0,18.00,29.94,21.99,25.96,0,2
32,n,2005,Rio Verde,11/20/2003,2/4/2004,90.00,313.80,21.00,19.0,16.00,29.32,20.39,24.85,0,7
33,n,2005,Rondonópolis,11/20/2002,1/3/2003,98.00,421.40,20.00,20.0,16.00,31.05,22.16,26.60,0,8
34,s,2005,São José do Rio Claro,11/10/2002,1/3/2003,98.00,438.00,18.00,18.0,14.00,31.43,22.15,26.79,0,13
